Gene	b0359	s0018	s0107	s0183	b0318	b0383	b0499	s0026	s0060	s0104	s0200	b0370	s0025	s0109	s0190	b0326	b0404	b0502	s0035	s0067	s0138	s0201	b0251	b0387	s0042	s0116	s0204	b0334	b0512	s0037	s0071	s0141	s0205	b0305	b0394	s0080	s0136	s0210	b0339	b0427	b0515	s0040	s0077	s0154	b0327	b0421	s0087	s0146	s0229	b0340	b0428	b0521	s0046	s0084	s0162	b0336	b0551	s0100	s0175	b0165	b0341	b0433	b0566	s0047	s0086	s0168	b0338	s0004	s0101	s0176	b0241	b0374	b0434	s0006	s0050	s0088	s0170	b0344	s0013	s0106	s0181	b0243	b0382	b0494	s0019	s0059	s0103	s0177	b0626	s0001	s1511	b0671	b0627	s1551	b0504	b0672	s0055	s1616	b0679	s0350	b0252	b0542	b0694	b0519	b0565	b0772	b0554	b0664	b0244	b0574	b0556	b0667	s0132	b0354	b0629	s0033	b0668	s0195
NME5	-0.714038	0.943179	-0.295182	-1.15961	-1.150079	-1.167167	0.613293	0.640614	-0.444798	0.020546	0.70792	2.006117	0.564504	-0.875739	0.534675	-1.395869	1.847204	-0.336887	1.818429	0.465221	-0.924778	-0.624522	0.536959	-0.704807	-0.853577	-0.562753	1.235253	-0.948755	-0.285182	0.24912	-0.687603	1.578613	1.653401	-1.441915	0.217818	0.87196	-1.393417	-0.959007	0.341067	-0.52936	-1.08704	0.998691	1.879163	1.049805	-1.475429	0.124327	-1.255519	-0.683913	-0.727337	0.559229	0.551202	-0.020546	-0.771483	-1.096811	1.647887	0.333146	-0.892423	1.708144	-0.345816	0.2711	1.167132	-1.15687	1.488245	0.592629	1.566555	1.471732	0.086114	0.265515	-0.437549	-1.368551	0.579976	1.976721	-0.721612	0.082992	1.591392	-1.297403	1.856073	-1.320909	-0.879903	0.188642	-0.57849	-0.126369	-0.681422	-0.945669	-0.291818	1.309467	1.590235	-0.772604	-1.068	-0.57516	-1.473366	1.092706	-0.723357	1.107508	-1.547764	-0.099417	0.38795	0.600931	1.215899	1.725289	-0.347529	-0.843946	-0.348612	1.970872	2.237383	0.637767	0.641805	2.226764	-0.982713	-0.975411	-0.347346	-0.848767	1.023855	-0.507117	0.060332	2.097553	0.651676	-0.942551
GRB14	-0.4423435	3.6525545	-0.5944905	3.1469985	-0.6998785	3.5246725	1.3410715	2.7714665	2.1457325	-0.7863475	-0.8993665	-0.9484005	2.6137165	2.3389685	-0.2244405	-0.9524825	-0.5914225	-0.7920995	-0.6639845	-0.6757055	1.8318635	-0.3395125	-0.2648135	2.2667075	-0.6218765	6.2217365	0.2186015	2.5828445	4.9069105	-0.1921645	-0.0513785	-0.7972785	-0.0015445	2.4461665	-0.4751825	0.6211655	3.6419205	-0.4201555	3.5010605	0.7896755	1.7314795	7.7023125	-0.7228345	2.7092855	3.1768655	-0.5881605	-0.3076155	5.5004145	0.0015445	6.2480715	2.5381745	2.9972125	-0.1540895	-0.7639765	-0.8655795	1.3017805	-0.2753285	-0.6297625	5.6707385	0.2362865	-0.4704725	1.4608755	4.4715085	6.8238305	-0.9396345	-0.7965675	-0.4283375	-0.9501095	0.1215885	-0.3723395	1.0988325	-0.6182485	-0.5597335	-0.5116305	2.9793445	0.9826745	3.8538695	1.0386135	0.4698315	0.4526375	0.5178755	0.5605905	0.5226535	2.1700975	-0.7163675	1.4451895	-0.4306905	-0.0139195	1.7017325	-0.9105455	-0.8743035	-0.8119895	-0.5542935	-0.5400515	-0.2849855	-0.9154135	0.1539695	3.7711955	-0.1213255	-0.5967205	0.0377205	4.7732555	-0.4065465	-0.3692365	-0.7893455	0.1112035	3.0059075	-0.6746955	1.9910325	-0.5384825	3.2551295	0.8695965	-0.2967135	-0.7310445	-0.6518195	0.9511955	-0.4321835	3.6428005
PLA2G7	0.192035	0.444866	0.245523	2.9544	0.951119	1.371477	0.023638	-0.77464	0.136372	0.622405	-1.391515	-1.132023	-0.52327	1.81568	-0.075581	0.794546	-1.023583	1.470546	-0.589096	1.014025	2.379225	-0.26851	-0.955194	0.325753	1.031457	-0.472692	-0.179385	-0.454678	0.885992	-0.937972	1.743703	-0.93367	-0.79697	-0.049636	0.174522	-0.417159	0.398694	2.505214	-0.773692	2.540658	0.962743	-0.285396	-1.343845	-0.089927	0.905663	-1.081599	0.011776	-0.891874	1.743591	0.650528	-1.072813	0.680154	1.02232	0.63935	-1.218934	0.156334	-1.11335	-1.111573	0.001368	-0.598083	-0.81877	0.192962	-0.853818	-0.605114	-1.297675	-1.266779	-0.636008	0.883752	0.415718	0.890526	-0.000899	-0.761849	-0.398027	-0.830893	-0.615409	0.507278	-1.258405	-0.992218	1.398178	0.516043	-0.626037	-0.774844	1.206671	2.01596	0.871929	-0.724605	1.540574	-1.041613	2.230706	1.462429	-0.052559	-0.690824	-0.25039	-1.160743	1.908968	1.647688	-0.419138	0.056441	-0.44021	0.000899	-0.401389	1.359178	0.132006	0.718402	-0.864253	-0.765485	0.945617	0.031571	-0.27024	1.995853	-0.347862	0.337351	-0.628974	1.484475	-0.639039	-0.689118	0.019792	2.100742
SRPK3	-0.120423	-0.299545	0.31796	-0.449996	3.281266	0.261212	0.006908	1.450244	0.569764	0.439934	-0.623024	0.433978	-0.087349	-0.110653	-0.368706	-0.578202	0.145262	0.554613	-0.214869	2.049661	0.139397	0.472525	0.254707	-0.101116	1.071878	-0.03682	-0.156441	0.353108	0.199257	-0.579228	0.110122	-0.458598	0.074776	-0.215311	1.498402	-0.470434	-0.00838	-0.238293	-0.300205	-0.491165	-0.13918	-0.06307	1.261309	0.456689	-0.291391	-0.406032	2.248644	-0.652211	-0.383828	-0.413706	-0.227008	-0.569108	2.451923	1.609336	-0.519907	-0.07328	3.050251	-0.752769	2.883917	1.408579	-0.387845	-0.20196	-0.733382	0.276033	1.832451	-0.153731	0.201334	0.454468	1.425852	3.117961	0.984369	-0.673586	-0.587464	2.196294	-0.296023	0.567875	-0.333415	0.566419	-0.456633	-0.323369	2.191255	0.387137	-0.241325	-0.145406	-0.063673	0.072277	0.282362	1.434731	1.736993	-0.394754	-0.519338	0.619707	0.353921	2.541051	-0.251585	0.409361	0.658986	0.363196	-0.4983	-0.581223	1.283067	3.611564	0.487516	0.297821	0.010418	-0.379188	-0.630185	0.479421	0.312466	-0.20703	2.949747	-0.812011	-0.298645	0.101387	-0.206551	-0.641527	-0.517423	-0.006908
CST1	-2.048846	2.215939	-2.012588	1.690055	-0.902156	-2.155163	0.762638	1.280244	-0.977738	-1.255783	0.574761	1.937861	0.941734	2.973445	2.421362	-1.636767	2.158281	0.25653	1.40911	1.058104	0.278708	1.664362	-0.554915	-0.506352	-1.644451	2.503958	-1.763254	-1.686578	-1.26065	3.666248	2.536175	-1.980216	3.870081	-0.054388	-1.242167	2.116343	-1.89982	-1.959323	-1.38915	1.39109	4.158341	2.788825	2.302117	-1.615243	0.025236	0.507898	-0.77897	0.53911	-1.889281	-0.013886	-0.373233	2.890391	1.663986	1.764372	2.393175	2.281094	-1.142731	-1.490662	1.702903	-1.710083	-1.551264	0.305643	-1.653315	0.697624	3.60848	2.625422	-1.975417	2.99164	-0.552211	-1.722168	-1.33536	-0.618329	0.350864	-1.825571	1.442621	-1.835654	-0.557198	0.074244	-1.943757	-1.730029	-1.771284	-1.1109	0.283921	-1.933624	-0.925774	-1.642855	-1.200549	-0.474439	-1.672316	-0.350301	1.365716	1.019875	0.875138	-0.429755	0.013886	2.169064	-0.339376	-1.936373	3.340728	-0.686422	-1.113522	1.855353	1.76371	0.933279	2.388984	-1.782396	1.810136	0.935719	-0.370022	-1.570308	1.274112	-2.1739	2.253939	3.066944	-1.008152	0.115684	0.418226	-1.223467
CILP	-1.7163925	0.2227965	0.7885215	-1.6338625	0.0089225	-0.5638265	1.7307155	0.4463675	0.7042255	-2.2637485	-3.5823455	0.5056595	-0.5697105	-1.5782985	0.1947655	-2.2398335	0.4569705	-1.1116745	0.9427855	0.3014845	-2.1505055	-0.7312265	-3.1067875	-2.0523965	-1.0647625	0.3429345	-0.4483815	-0.4210195	0.3883465	0.1868415	-0.8737055	-0.0119005	1.4515965	0.4075765	-1.8253725	1.7586865	-0.1714855	-3.0113895	-1.7617625	-0.0089225	-0.2041155	-0.2549745	0.1620085	0.5655395	-1.0099005	-0.7706295	-2.6865135	1.6675765	0.1094255	-0.9867925	1.6020685	3.1953695	1.4788135	0.1551355	1.7434265	0.6619935	-1.0171125	2.1600075	0.5128015	0.7557025	-1.6331805	-4.2242815	1.0593445	-2.4548145	1.6374595	-0.1187105	0.9308145	2.0145955	-1.9329635	0.1926905	1.4284805	0.8148905	0.9173015	0.1321515	-2.7991935	-1.5471765	-1.3440345	0.5637675	-4.0112865	1.1729535	-1.2568245	-1.7459725	1.3191665	-3.1267235	0.4366795	0.7771695	0.2158775	1.5999135	0.2564065	-1.6211165	1.3008275	-1.2834425	2.7657975	-0.2128935	-0.6179855	0.4114435	-1.5925155	-1.1348265	1.6960335	-0.7251455	-2.1374495	0.8479785	0.7313495	0.9048265	-0.5925775	1.7947875	0.8608995	0.7466065	-2.2891085	-1.7928335	-1.4102235	-2.2190705	-0.8624525	0.9080015	0.0492515	-0.5022655	-2.1884495	-1.4290475
TIMP4	-0.1071815	0.0550555	0.1695015	-0.3077135	0.1703605	0.4190795	-0.1484195	0.2210315	-0.0328355	-0.0821965	4.3666585	-0.0636375	1.4847415	-0.0934325	0.2056905	0.0173705	3.3462095	0.1117675	0.2205325	1.7354735	-0.0335365	0.5308495	0.0201035	-0.2479285	-0.1962095	-0.2810395	-0.1953095	-0.2103945	0.6078615	0.1000015	-0.4148095	-0.3913305	-0.2925705	-0.4982415	0.3102395	-0.2148555	-0.2155725	-0.2032825	-0.4891915	-0.4041455	-0.2456205	0.0007695	-0.3852325	2.4849695	-0.1858915	0.1181745	0.5877255	2.6326795	-0.3154955	-0.2976955	-0.1075105	1.7380445	0.0119495	-0.4154025	0.8257775	-0.3431455	-0.4662185	0.6164475	-0.0007695	0.5529415	0.2339255	-0.0546825	-0.0819525	0.0766275	0.3293035	-0.1135155	0.8937865	-0.2654135	-0.2434675	0.6576505	1.7123905	-0.4148065	0.4209885	0.3420185	0.4500045	0.9800575	0.1656875	0.8211605	0.0314985	0.2888715	0.1190235	0.0561175	0.3092835	0.1367955	0.0228505	0.1348375	2.5179665	1.4063565	5.2138845	-0.5629475	-0.4522915	-0.3206695	0.7741155	0.0053655	-0.2497845	-0.4179035	-0.2467905	-0.4994065	-0.0806095	-0.0673895	0.2603255	-0.2823055	0.1562635	0.7299025	-0.2695775	0.9967145	0.9735405	-0.5740575	-0.0973535	0.1880685	-0.6659275	-0.2273875	-0.2379365	-0.0865495	-0.1472905	-0.0193545	-0.2533865	-0.3891915
MICB	-0.296393	0.853504	-0.449605	0.327396	1.220832	0.90704	0.219916	-0.737935	1.380905	-1.362962	-1.153098	-1.308348	-0.741573	-0.513934	0.158261	-0.731921	-1.496268	-0.442296	-0.930405	-0.008656	1.137982	-1.090175	-0.871045	-0.001472	0.70344	1.744025	1.698879	0.39044	0.911709	0.363667	0.780133	-1.064591	0.261008	-0.569409	0.214211	-0.167287	0.356848	1.176371	2.542503	0.385447	1.74664	-0.589364	-0.240686	0.517376	2.258651	1.123216	-1.159845	0.215793	0.336378	-0.436309	-0.727888	1.551883	-0.115838	0.647239	-0.817512	0.582217	-0.931163	0.432329	-0.489019	-0.062025	-0.146989	0.393935	-0.959859	-0.775168	-1.043258	-1.454594	-0.166005	0.887562	-0.392238	-0.640741	0.380325	0.599898	-0.332056	0.190466	1.263691	1.533419	0.312128	-0.897997	0.987845	0.156849	-0.923705	0.063772	-0.189225	-0.121834	1.328408	0.325663	-0.2204	0.440795	-0.295118	-0.975835	-0.526134	-0.376939	-2.057706	0.883454	0.067654	-0.671862	2.480298	-1.349361	-0.412829	1.06659	0.027738	-0.247342	-1.527454	0.205829	-1.653581	-0.797358	-0.438405	0.001472	-0.113702	0.69246	0.730391	-0.756605	-0.368757	0.599921	1.724186	0.529576	0.320594	1.012573
EGF	0.6251185	0.1862885	1.7625695	-0.3482235	0.1577555	2.8215475	0.3088995	0.2694415	0.1646935	0.1179525	-0.6574565	0.2254775	-0.0245165	0.7876735	-0.5308085	-0.5470385	2.9072705	-0.3027815	1.6448255	-0.2255735	0.1279055	-0.3788055	-0.3250015	-0.3783085	0.3216655	1.1413305	-0.0885325	1.6450255	-0.5332765	-0.0006515	-0.1477005	-0.7953825	0.4970975	-0.4703945	2.8863505	-0.1335005	0.0496645	-0.1550435	-0.0734425	-0.5238255	0.4694015	-0.2450695	0.0929125	1.5377235	1.7363475	2.6975745	0.0006515	0.5825715	-0.2089375	0.5811425	-0.0241855	2.8193745	-0.4708975	-0.0611295	-0.4377795	0.7581455	-0.2776235	-0.4793305	0.0626625	-0.1025915	1.9662205	-0.1606865	0.5762875	-0.4665855	1.5932875	0.0755855	1.1122245	-0.1928425	0.8296155	1.2831665	0.1414415	1.5412715	-0.2948665	0.3216145	-0.4287395	1.1724265	-0.0611365	-0.5181465	1.2291975	0.2118695	-0.3679625	-0.3184405	-0.3873535	0.1320205	-0.4206895	-0.1288875	0.5380655	-0.3906335	-0.7679335	-0.3410245	1.2407325	-0.1654905	-0.0135895	0.2520075	-0.4276345	-0.1280765	-0.3161765	1.2297525	-0.2393695	3.0504495	0.8908275	-0.3020045	3.0440795	0.6240465	-0.6627435	0.2292855	1.6921355	-0.3294335	0.1256175	-0.2992475	-0.4589755	-0.5413825	-0.3803375	1.6860515	0.0986195	1.0903965	-0.6068865	-0.4569025
ZNF239	-0.763781	0.993662	0.178287	-0.283951	-0.742827	0.517037	-0.338308	1.212477	-0.648571	-0.195256	1.427908	-0.296964	0.349696	-0.456267	0.69869	-0.709819	0.814034	-1.505582	0.921138	-1.07226	-0.155338	0.498729	-0.496062	0.134607	-0.0735	1.05842	0.52493	-0.642689	0.252692	0.765022	-0.26842	-0.537283	0.952782	-0.684909	-0.183498	0.290287	0.516796	0.238465	0.33368	0.719446	-0.58588	-0.372632	-0.605804	0.728277	0.725177	1.270396	-0.132742	1.653273	-0.318656	-0.217549	0.510146	-0.560393	0.589408	0.460721	-0.754425	0.782163	-0.318614	0.201844	-0.954165	0.259511	-0.435853	-0.107542	-1.124741	0.460698	0.973049	-0.73794	-0.60846	-0.8459	-1.620199	-1.924594	1.330404	-0.533071	-1.665751	-1.063945	-0.058324	0.218445	-0.007709	-0.389189	1.46719	0.100003	-0.923941	-0.646332	-0.393478	0.993023	0.690187	0.23056	0.287518	0.446483	-1.021878	2.333813	1.638087	1.022845	-2.175197	-0.226329	-0.389058	0.210722	1.979625	-0.020366	0.934906	2.114665	-1.80551	-0.763575	0.414872	0.541584	0.007709	-1.081575	-0.392577	0.360619	0.389218	-1.283264	0.142079	-0.105859	1.768948	0.374802	-0.729996	0.923378	-0.989509	1.38344
LY6D	0.332642	-0.116856	-0.391384	0.14616	0.070538	-0.276546	-0.047617	0.079938	0.47144	-0.220928	0.001817	-0.224298	0.711585	-0.073853	-0.143115	-0.120954	-0.032568	0.763194	-0.013097	0.549202	-0.275826	0.721497	0.232567	-0.141395	2.460032	-0.398433	-0.242537	-0.085874	-0.197059	-0.098847	-0.25778	0.051884	-0.336686	0.080038	1.125777	-0.257603	0.614044	2.452685	-0.133467	-0.177909	3.298591	0.035571	-0.285619	-0.053332	-0.128485	0.581861	3.121875	-0.208763	1.61314	0.038956	-0.38981	-0.126773	0.262043	0.288139	0.030282	0.149807	-0.010115	-0.175482	2.980452	-0.001817	0.12427	0.745045	0.018636	0.203799	-0.250708	-0.127306	1.644367	-0.016044	-0.064741	0.275202	-0.127663	0.69902	0.164127	0.074372	-0.076579	-0.165894	-0.062923	2.082535	0.097438	-0.155161	0.086829	0.700199	1.844159	5.182679	-0.111544	0.1215	-0.007703	0.061749	0.294348	-0.034832	-0.136825	-0.233415	0.989409	-0.289682	1.657233	0.050934	-0.218812	-0.048294	0.55968	0.185448	0.948521	1.150692	-0.210548	-0.1351	0.069935	-0.095311	0.980454	-0.091574	1.915291	4.00414	-0.11803	-0.273681	-0.104575	-0.167501	0.022752	-0.389894	-0.296758	0.191259
NTS	-0.1993125	-0.2052545	0.2944945	-0.1667835	-0.0660075	-0.0373405	2.2083375	-0.0385375	0.0314925	-0.0511405	-0.0090355	-0.1615995	0.2713245	-0.0348065	-0.2366155	-0.0910835	-0.1161925	0.2880315	-0.1154325	0.0660975	-0.1103925	0.1371255	-0.0075795	-0.0326095	0.0857255	-0.0010215	0.2182135	-0.1204205	-0.0986625	0.8680295	-0.1703995	-0.0829515	-0.0958935	0.2382795	-0.1945705	-0.0980195	-0.1301515	-0.1319415	1.8119455	-0.1358065	-0.1295045	-0.0561485	-0.0919815	-0.0326605	-0.2385645	-0.1448975	0.4386925	-0.0535925	-0.2120785	0.3048615	0.0378825	-0.2177655	0.1508945	-0.1215905	7.5906785	0.2274895	-0.0976735	-0.0430405	0.0086825	0.0375235	1.0052635	0.0329595	-0.0803475	8.6580165	-0.2455595	0.3221345	-0.0680725	-0.1571625	0.0111585	0.3446625	0.0882585	-0.1052085	0.2854815	0.7023595	0.0801065	0.0010215	-0.0505225	0.1588255	0.2955395	0.0090215	5.2973085	1.1494175	0.0653945	0.6665085	0.3851205	0.4517475	0.4834975	0.4734505	-0.0141755	0.0660975	-0.0762735	6.3526245	-0.0496845	-0.0377875	-0.0528375	-0.0280495	0.4179105	0.3479645	0.3013125	0.2004395	0.2946015	0.6010095	-0.0714135	0.0194025	8.5311985	-0.0881555	-0.0350245	-0.1484445	0.1341205	0.0158195	-0.0756715	-0.0912125	0.2934875	-0.0963115	0.1615575	7.8599375	8.0819045	0.1367175
PTHLH	0.126335	0.883872	-0.00734	-0.41378	-0.04569	-0.186488	0.13008	-0.0915	-0.152993	-0.002812	-0.222081	3.171328	-0.2152	0.025739	-0.313247	0.135837	-0.465265	-0.056367	-0.274834	-0.24275	-0.390133	0.002812	0.544268	0.357706	-0.208959	0.323218	-0.361615	1.502915	0.73714	-0.450477	0.1739	4.405706	-0.035435	-0.205453	2.214466	0.853268	-0.283613	-0.269189	-0.321034	-0.212017	-0.287946	2.762924	-0.070809	0.03522	0.14283	1.735429	0.091767	0.530023	-0.43217	0.032281	-0.110857	0.67564	0.100194	-0.081155	1.336645	0.931927	0.038474	0.705088	-0.110177	0.357151	-0.370513	-0.290494	0.213295	-0.240845	-0.177808	6.019614	0.175456	0.182662	0.200878	-0.128125	0.179038	0.389395	0.047822	-0.040311	-0.273688	-0.03843	-0.411098	0.126483	0.599341	0.450268	0.578939	1.587645	0.212479	0.046751	0.466638	0.833363	0.389475	0.054773	-0.268989	4.237596	0.401095	-0.346258	-0.254863	-0.263098	-0.228685	-0.192374	-0.300845	-0.180342	-0.219965	0.196419	0.948193	-0.061313	-0.188461	0.15139	5.405991	-0.029393	-0.030853	0.263086	-0.015265	-0.272373	-0.139295	3.287903	-0.106245	-0.013578	-0.335229	3.800901	5.142658	-0.246136
FOXD1	0.4891925	-0.1404835	-0.4133965	-0.2778335	-0.2605675	0.2872975	-0.1469085	0.6592525	0.3401775	0.4398045	-0.0207185	-0.0202895	-0.1365205	0.0190295	0.0155375	2.3046545	-0.0273225	0.2984905	-0.0840665	0.0522335	-0.2135925	0.8952545	0.0859225	2.4355025	-0.0986575	0.4138785	-0.0961065	0.0814555	2.5550745	-0.2208745	0.7696075	2.8756795	0.3521705	0.7384455	-0.0659245	-0.1661505	-0.3205505	0.4095685	0.4137205	-0.2170035	-0.4787515	-0.2799745	0.0382175	-0.0841135	2.4923795	-0.1651265	0.7494905	0.1743905	1.7675815	-0.0015175	0.0015175	-0.2248525	0.0902115	4.9974475	-0.1576425	-0.0693135	0.2392985	-0.1860775	-0.0923195	-0.1710155	-0.1325465	1.0045635	0.1919975	-0.0554225	0.1469455	-0.1455555	1.2924945	-0.1228235	2.7770605	0.1655915	0.1905845	0.4840515	0.4037285	0.2630465	-0.0303765	-0.0188895	-0.1215075	0.6981175	1.7697505	0.0433455	-0.0226995	1.2980375	-0.0363085	-0.0236965	0.8446415	-0.0726595	-0.1688685	0.5197275	-0.2725445	-0.1065345	-0.0677455	-0.1534975	0.6034085	-0.0523905	-0.1644265	0.9209815	-0.0126525	0.0647255	-0.0241705	-0.0778705	0.3970625	0.4764875	-0.1534565	0.3924045	-0.2084395	-0.2275725	-0.1127365	0.3893185	2.4364575	-0.0186975	0.0295825	0.2531575	-0.2172255	-0.0335275	3.2123195	-0.0979005	0.1093735	-0.0142745
SERPINA6	-0.2134215	0.2054975	-0.1699275	-0.1962155	-0.1850155	-0.1895695	1.7054025	-0.1261215	0.6772205	-0.1029605	5.7753595	-0.2293275	0.5861465	-0.3116765	0.9114235	-0.1449955	0.0601155	-0.0730315	0.1198915	0.0142875	-0.2328155	0.1319165	-0.0029345	-0.1342485	-0.2337165	0.4289745	-0.1513995	-0.2923015	0.0029345	3.1420675	-0.1927325	-0.2076355	0.2713715	-0.2283045	-0.1774995	4.4119245	-0.2284555	-0.1667345	3.3567025	-0.1724375	-0.0835385	-0.0937725	0.6924935	-0.0365275	-0.3341595	-0.0549765	0.4492845	2.7982435	-0.1913135	0.0585235	0.3085795	-0.3059745	0.3486475	-0.1301695	3.3992075	0.0722665	-0.2204865	6.0898035	-0.0797225	-0.0092645	5.1534445	-0.0783275	0.7864435	8.2077965	-0.0609535	0.2577275	-0.2040065	-0.1652935	-0.0668595	-0.0793425	-0.2402185	-0.3324855	-0.0780795	0.6031305	6.3480885	-0.1020865	1.0768695	0.2843975	-0.0542485	0.2182795	0.0426955	0.5106685	-0.0824615	0.2579345	0.4206105	0.4906715	5.2494295	0.0206085	-0.3389235	-0.2449735	-0.2903885	0.8844255	-0.1212035	1.2871445	0.1607805	0.1666525	0.7889845	-0.2144935	-0.0589125	0.0055775	0.9697655	0.1716285	1.5242475	-0.1884155	7.2485505	0.2069075	-0.0714505	-0.2764885	0.7151855	0.1244465	-0.1126675	-0.2463405	0.0682655	-0.1416285	3.8575355	5.8915205	0.0283425	0.0291845
GRP	1.0426665	-0.5836255	1.8289045	-1.2700445	3.0791165	-1.8387755	-0.5170655	2.4448545	0.5721655	0.2742875	-1.6852725	2.2935105	-1.2672495	0.2866355	-1.5843015	-1.8404725	2.4407195	-1.4755415	0.1352225	0.4501965	-1.8610945	0.0313975	-0.5226255	0.0603905	-0.6210245	2.0596815	-1.2706385	1.3898945	-0.0247925	1.9221855	-1.4525445	1.7344035	2.8241565	-1.3250245	-1.3386185	1.1382675	-1.7694735	-1.4507665	-1.0668955	-1.5754465	-0.8140435	1.9448165	1.7494555	-0.4022265	-1.9848485	0.3995755	-0.2005255	1.3969025	-1.5222505	-1.2227145	2.9277665	0.9040505	1.6237135	-1.0855145	1.0162185	1.0322175	0.3273315	2.8085965	1.4234685	-0.3095725	2.4670475	-0.6699015	-0.5232275	-1.2040235	2.2357005	0.9557755	0.7095905	-0.4073585	-1.1093175	-1.6358555	0.1741855	1.5053615	-0.3024015	-1.2563375	-1.2032305	1.2470555	1.4673685	0.3489985	-1.7895365	2.2579245	0.5418245	-0.8754815	-0.9741265	-1.6746485	1.7256185	1.7776095	1.9060625	-1.5864965	-1.7105615	-1.7583545	1.4842305	0.3577425	1.2967915	0.0482525	-1.5743035	-1.5940925	-0.7525405	-1.9697645	0.6534965	-1.4210255	-0.5614005	0.8187205	0.6608475	-0.6469325	0.5199005	0.7486235	-0.8693315	2.4993175	0.0247925	-1.6671705	2.2153615	0.4948795	-0.4046105	-0.6855035	-0.2313955	-0.4637095	3.8141775	-2.1058155
IFI16	-0.182122	-0.152741	0.271676	-0.004752	-0.419468	-0.569067	-0.72291	-0.692207	-0.463673	0.629387	0.274483	0.05154	0.365854	-0.505131	0.392605	-0.71757	-0.581586	0.437517	-0.678968	-0.668714	1.806454	-0.380563	-1.020296	0.925407	2.041781	0.74493	-0.681525	0.626711	0.010608	-0.388817	1.797735	-0.628411	0.286602	0.635312	1.389113	-0.030602	1.080034	1.921105	-1.212687	0.181557	1.963362	-0.051189	-0.830303	0.866417	1.443301	-0.822045	-0.206279	-0.306457	1.275207	0.265705	0.177787	0.004752	-0.011553	0.346346	-0.119875	-0.31341	-0.009828	0.457954	0.103993	-0.270935	0.774203	0.826552	-0.685864	-0.030974	-0.769839	-0.758265	0.385058	1.290351	-0.348173	0.335192	0.509884	-0.09942	0.675791	-0.646837	-1.087366	-1.138097	-0.596261	0.086512	-1.777478	0.374658	-0.627398	0.489152	0.093738	0.0685	-0.580549	-0.101295	-1.791479	-0.509915	0.307164	-0.440922	-0.043105	-0.424536	0.204145	0.272891	2.309648	-0.102005	-0.755745	1.326831	0.343716	0.331148	-0.71925	-0.973756	-0.949346	0.814187	-1.318341	0.694241	1.504164	-0.16378	0.813404	2.091801	0.571184	1.038648	-0.948538	0.171133	-1.291524	-0.660752	0.143291	2.184844
CCR7	-0.0652205	0.8148335	-0.3266595	0.5597495	-0.4210475	0.9386295	-0.4010525	-0.3225835	5.4885465	-0.0458245	-0.0176675	-0.3907285	3.2234535	0.1329165	1.9868485	1.6939005	-0.2957375	1.9190455	-0.1078075	-0.2880815	4.1213425	-0.0100635	0.5898995	0.2074845	2.8504635	-0.2324075	0.5902395	0.3087865	-0.1126285	-0.6326985	1.9373765	-0.1996495	-0.1869665	2.2866405	2.9843875	-0.2254055	1.9369295	-0.2062135	-0.1797235	-0.1874085	2.5814025	-0.2937975	-0.4084075	0.3961625	1.7451555	-0.2972325	1.0856905	-0.3610445	1.1714135	1.7444445	-0.5183525	-0.1820575	0.4719395	2.8189275	0.4186025	-0.4444485	-0.3508315	-0.3855025	0.7426495	1.5321875	-0.3717685	-0.2740005	-0.6004675	-0.3974795	-0.4279785	-0.2194195	0.4916365	2.3756825	-0.2875335	0.6456465	1.6636215	-0.5757095	2.5431215	-0.1820425	-0.3941025	-0.4412985	-0.6929445	1.5590475	-0.3993485	0.0733625	-0.1479855	3.8742765	2.4937085	2.0842665	0.3703335	0.0270135	-0.1362745	1.5380135	0.3863885	0.5060175	0.2531315	-0.4763725	0.4706685	-0.4558845	3.7533405	1.2056115	-0.3873855	-0.4608785	0.5067315	0.0031845	0.2959225	-0.0031845	-0.5726855	1.6620755	-0.5369725	0.1453785	1.4149095	-0.3524775	1.9414055	4.6481045	-0.6343575	-0.1299315	-0.1013295	0.3874395	-0.1988105	-0.4129015	-0.6780725	0.7110205
